Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0,You know what? I really should just get out there for once if I want to learn any more about this place. Take me with you., ,0,0, ,0,0, ,0,0, ,0,0
1,"Sorry, but I just can't bring myself to follow you on a journey like that. This really is where I belong. ", ,0,0, ,0,0, ,0,0, ,0,0
2,"Hey there stranger, haven't seen your face before. You must be from the Home Compound. My name's Ally, what can I do for ya?",Sorry to bother you but I was wondering if you could help me learn a little about this place.,0,0,,0,0, ,0,2,Will you join our cause?,0,0
3,"Oh so you want intel, well you've come to the right place. I'm sort of known around here for knowing lots so lay it on me. ",Why are there so many people here?,0,4,How much do you know about the Arc of Life?,0,12,Can you tell me about the residents of this city?,0,8,Will you join our cause?,0,0
4,"Well ever since humanity abandoned us and moved inland, we survivors have had to come together to create some sort of peace in this hellscape.",What about outside Seattle?,0,5,What do you mean you were abandoned?,0,6,So why this place?,0,7,Will you join our cause?,0,0
5,"The outside is too dangerous for us to explore due to madmen and bandits who would take every opportunity to take from us. Besides, even if we were strong enough to fight them, there's nothing out there for us.","Thanks for your time, anything else you can tell me?",0,4,"Thank you, let me ask you something else.",0,3, ,0,5,Will you join our cause?,0,0
6,"That's a tough question. Well long ago when the coasts flooded, many moved inland to avoid the ruin. However, the US government and society did a poor job at migrating everyone and some got left behind. That was many, many years ago but now we're stranded here. Hope that was enough info. ","Thanks for your time, anything else you can tell me?",0,4,"Thank you, let me ask you something else.",0,3, ,0,6,Will you join our cause?,0,0
7,"You know the Dictator right? Well he and many others came to this place to create a sort of safe haven for those left behind. Plus, Seattle is removed from the mainland so this place is as safe as it gets in this lonely part of the world.","Thanks for your time, anything else you can tell me?",0,4,"Thank you, let me ask you something else.",0,3, ,0,7,Will you join our cause?,0,0
8,Hmmm... I don't know much myself but I'll tell you what I can. Here in Seattle you can find all sorts of people from intellectuals to crazy people. ,Can anyone here help me get out of this city. ,0,9,Does anyone here know about the Arc of Life?,0,10,Are there any dangerous people here?,0,11,Will you join our cause?,0,0
9,Not sure if I'm allowed to say really... Well whatever as long as you don't tell anyone I'll let you in on a bit of info. I heard somewhere recently that Lady Bisco was entrusted to hold on to the key card needed to exit the city. ,"Thanks for your time, anything else you can tell me?",0,8,"Thank you, let me ask you something else.",0,3, ,0,9,Will you join our cause?,0,0
10,"Sorry, but my range of knowledge doesn't extend that far. I may be know for giving out information to people I like but that doesn't mean I know everything. ","Thanks for your time, anything else you can tell me?",0,8,"Thank you, let me ask you something else.",0,3, ,0,10,Will you join our cause?,0,0
11,"I know I said Seattle was a safe haven but I'll have to take that back for that question. You see ever since Lady Bisco got her hands on a certain item, she's established a certain territory around here and will fight anyone who approaches. ","Thanks for your time, anything else you can tell me?",0,8,"Thank you, let me ask you something else.",0,3, ,0,11,Will you join our cause?,0,0
12,The Arc of Life? Well I guess I've heard of it before but... well... Damnit! I hate that stupid thing cuz it's the one thing I can't tell anyone about. ,"Well that's alright, I'm on a search for it. ",0.3,13,You don't know about the Arc of Life?,0,13,Guess you aren't as good as you thought. ,-0.1,13,Will you join our cause?,0,0
13,"You seem to know a bit more about it, any way I could as well?","What, jealous?",-0.1,14,Y'know I could use someone like you on my journey.,0.2,14,I guess if you want it to so badly.,0,14,Will you join our cause?,0,0
14,"Well now, can you at least tell me what you want from the Arc of Life?",I need it to save the world.,0.1,15,"Sorry, don't want to tell you yet.",-0.2,15,Having it will save us from our human limits.,0.2,15,Will you join our cause?,0,0
15,"Alright I'm interested, but I'm still a little skeptical. I just don't know if something like that is worth the risk. ","Don't worry, I know I'm the only one who can get this done. This is our one chance to achieve what has never been done before.",0.3,16,Well if you're that unsure maybe it would be best for you to stay here. ,-0.1,16,"Sorry, but I just can bring myself to follow you on a journey like that. This really is where I belong. ",0.2,16,Will you join our cause?,0,0
16,Hmmm... lemme think for a sec..., ,0,0, ,0,0, ,0,0,Will you join our cause?,0,0
