Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,Hey. ,Hey?,0,4,Who are you?,0,3, ,0,2, ,0,0
3,"I'm Bo, who are you?",I'm a friend.,0,5, Is this the way to the enemy compound?,0,4, ,0,3, ,0,0
4,"Well, you definately do not want to turn around. ", So it is the correct way?,0,7,"Why, what is the other way?",0,6, ,0,0, ,0,0
5,...,Ok I'm out.,0,0, ,0,5, ,0,5, ,0,0
6,"Lots of forest, you will likely get lost.", So I should continue forward?,0,7, I like the risk.,0,0, ,0,0, ,0,0
7,Yes.  Are you really looking for the Arc of Life?, Yes,0,8," Not really, just the enemy compound.",0,5, ,0,0, ,0,0
8,Then you need to find Medium or Survey. They know the way. , Ok,0,0,How do I find them?,0,9, ,0,0, ,0,0
9,"They usually hang out near the enemy compound, but one caution.  Don't go near the entrance and definitely don't go inside.", ,0,0, ,0,0, ,0,0, ,0,0
