Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,"Whoa, whoa, whoa! Who the hell are you?",Just a visitor.,0,3,"I'm a bit lost, could you help me?",0,8,"I'm searching for the Arc of Life, could you help me?",0,13, ,0,0
3,A visitor?! You gotta be kidding me. Do you have any idea where you are?,I'd appreciate it if you could tell me.,0,4, ,0,3, ,0,3, ,0,0
4,How could you - are you seriously telling me you don't know what this place is?,Yep.,0,5,"Nah, just messing with you.",0,5, ,0,4, ,0,0
5,"You must be new to these parts. This is bandit territory, kid.",Sounds dangerous.,0,6, ,0,5, ,0,5, ,0,0
6,"Yeah, exactly. I'd get out of here if I were you. Good luck.",Could I ask you one more thing?,0,2, ,0,6, ,0,6, ,0,0
7, , ,0,0, ,0,0, ,0,0, ,0,0
8,Lost? You must be pretty lost to have ended up out here. ,"I know, I have a bad sense of direction.",0,9,No I mean this place is a little confusing. ,0,9, ,0,8, ,0,0
9,"This here's bandit territory. Be careful wandering around, or you might lose an eye or two.",Any tips?,0,10, ,0,9, ,0,9, ,0,0
10,"20 squats a day, then 15 lunges on both legs. You'll be fit enough to outrun any bandit in no time.","Thanks, that'll help me survive.",0,11,"Sounds tough, lemme ask you something else. ",0,2, ,0,10, ,0,0
11,"No problem, kid. Oh, and don't forget jump squats. 10 of those suckers every day at breakfast.",Will do.,0,2,"Alright, let's talk about something else.",0,2, ,0,11, ,0,0
12, , ,0,0, ,0,0, ,0,0, ,0,0
13,Wha - you can't just bust in here and say you're searching for the Arc of Life itself! Who are you anyway?!,Uhhh... I mean-,0,14,I'm a traveler.,0,14,No one... lemme ask you something else. ,0,2, ,0,0
14,You must be pretty strong to be traveling way out here.,"Yeah, I guess you could say that.",0,15, ,0,14, ,0,14, ,0,0
15,"You'll have to give me your workout routine sometime, sounds pretty intense.","Alright, let's talk about something else.",0,2, ,0,15, ,0,15, ,0,0
,,,,,,,,,,, ,,
,,,,,,,,,,, ,,
