Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,Hey. ,Who are you?,0,3,Do you know the area well?,0,8, ,0,2, ,0,0
3,"I'm Granite, who are you?",I am just passing through.,0,4,I'm looking for a map in this area.,0,6, ,0,3, ,0,0
4,"Well I recomend turning back, some of us here aren't too fond of strangers. ",Are you?,5,5, ,0,4, ,0,4, ,0,0
5,...,Ok I'm out. ,0,0, ,0,5, ,0,5, ,0,0
6,And you think I know where it is?,Uhh... maybe?,0,7,Someone told me you might.,0,6, ,0,6, ,0,0
7,Well I don't so get out of my face. ,Ok sorry.,0,0, ,0,7, ,0,7, ,0,0
8,Well enough.,Do you think you could guide me?,0,10,Do you know where I can find more resources?,0,10,Do you know where the tunnel to the enemy compound is?,0,12, ,0,0
9,Maybe.,Do you think you could guide me?,0,10,Do you know where I can find more resources?,0,7,Are there other suvivors around?,0,10, ,0,0
10,"I am not here to help you, move along.",Sorry to bother you.,0,2,"Sorry, I'll be on my way.",0,0,Why not?,0,11, ,0,0
11,I do not need friends.,"Oh, sorry to bother you.",0,0,"Oh, ok well I'll be going then.",0,0, ,0,11, ,0,0
12,Since you asked..., ,0,0, ,0,0, ,0,0,Please!,0,13
13,You know the small lab on the far side of the island?, ,0,0, ,0,0,Sure,0,14,Haven't see it yet,0,14
14,"Well, on the back side of it, the side near the water...", ,0,0, ,0,0, ,0,0,Continue?,0,15
15,There is a tunnel..., ,0,0, ,0,0, ,0,0,Continue?,0,16
16,At the bottom left side..., ,0,0, ,0,0, ,0,0,Contiue?,0,17
17,Enter the tunnel there and good luck., ,0,0, ,0,0, ,0,0, ,0,0
