Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,Yes Traveller?,What is this place?,0,3,What do I do here?,0,7,What are you doing?,0,11, ,0,0
3,A big ol' jungle. Just for people like you and me. ,"Yeah ok, lemme ask something else. ",0,2, ,0,3, ,0,3, ,0,0
4,"Whatever you want dude, I don't care what you choose to do with your time. ","Okay, just askin'",0,2, ,0,4, ,0,4, ,0,0
5,"Enjoying the scenery, that and talking to you. ",Cool I guess.,0,6, ,0,5, ,0,5, ,0,0
6,"Look dude, if you've got nothing better to do then can you leave me alone. I'm so tired right now. Like legit i just wanna sleep. ",Oh ok sorry.,0,0, ,0,6, ,0,6, ,0,0
7,"I mean like seriously man, I just need to be alone for a bit. ",I feel you man. ,0,8, ,0,7, ,0,7, ,0,0
8,Clearly not cuz you're still here. ,Yeah good point. ,0,9, ,0,8, ,0,8, ,0,0
9,So... you gonna go?,Yeah for sure. ,0,10, ,0,9, ,0,9, ,0,0
10,...,...,0,11, ,0,10, ,0,10, ,0,0
11,Zzz.., ,0,11, ,0,11, ,0,11, ,0,0
