Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,"Hey you, I've never seen your face around here before.",Tell me about yourself.,0,3,Tell me about this place.,0,7,How are ya man?,0,11, ,0,0
3,What about me?,Who are you?,0,4,What are you doing here?,0,5,Nevermind.,0,6, ,0,0
4,"I'm Johannes, I'm just a wanderer floating around this area.",What are you doing here?,0,5,"Thanks for your time, anything else you can tell me?",0,3,"Thank you, let me ask you something else.",0,2, ,0,0
5,Survivin' I guess. I don't like the way the those Seattlers are livin' so I thought I'd try to make it big in here. ,Who are you?,0,4,"Thanks for your time, anything else you can tell me?",0,3,"Thank you, let me ask you something else.",0,2, ,0,0
6,Don't be a stranger!,Alright...,0,2,Oh ok... so tell me about yourself.,0,3,"Thank you, let me ask you something else.",0,2, ,0,0
7,What do you wanna know?,What's the deal with this place?,0,8,Should I be scared of this area?,0,9,Are there other people here as... friendly... as you?,0,10, ,0,0
8,"What's the deal with this place? It's a nice little swamp, away from the main part of Seattle.","Thanks for your time, anything else you can tell me?",0,7,"Thank you, let me ask you something else.",0,2, ,0,8, ,0,0
9,"Should you be scared? I don't know, take a look around. Does any place in this world feel safe to you?","Thanks for your time, anything else you can tell me?",0,7,"Thank you, let me ask you something else.",0,2, ,0,9, ,0,0
10,"I can't really speak for others, though I wouldn't count on making any friends here. We didn't pick a military base to be our home for no reason. ","Thanks for your time, anything else you can tell me?",0,7,"Thank you, let me ask you something else.",0,2, ,0,10, ,0,0
11,I'm doing good. Nice of ya to ask.,Glad to hear.,0,2, ,0,11, ,0,11, ,0,0
