,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,What's crackalackin.,Who are you?,0,3,You good?,0,7,Can you tell me anything about the arc of life?,0,11, ,0,0
3,Me? It's ya girl Joyce.,"Alrighty, what are you doing?",0,4,Ok....lets ask a different question.,0,2, ,0,3, ,0,0
4,Honestly what is anyone doing...*sigh*,How are you surviving?,0,5, ,0,4, ,0,4, ,0,0
5,"I eat plants. Sometimes its a bad idea. Sometimes its alright, sometimes...",Are you familiar with the area?,0,6, ,0,5, ,0,5, ,0,0
6,"Like a rat in the sewers baby, I know the ins and outs and all around.",Then maybe you could help me on my quest for the Arc of Life.,0,0,"Okayyyy, different question it is then.",0,0, ,0,6, ,0,0
7,"Hopefully, there are no doctors here ya know.",How are you alive?,0,8,Ok....lets ask a different question.,0,2, ,0,7, ,0,0
8,"Dunno, I havent drinken water in ages man. Livin off spite I guess.",Ok....lets ask a different question.,0,2,You havent drinken' water??,0,3, ,0,8, ,0,0
9,"Nope, most of the plants here dont either. I think its normal.",Do...do you want to drink water...?,0,10,Ok....lets ask a different question.,0,2, ,0,9, ,0,0
10,"Sure, I've been told its soggy though.",Here you go. I'll ask a different question.,0,2, ,0,10, ,0,10, ,0,0
11,The what now? Is that a new religion or something?,So you dont know?,0,12,"Welp, you're useless.",0,12, ,0,11, ,0,0
12,"Hey hey hey now, I know a couple things. I aint completely stupid.","I dont really trust your information, lets ask a different question.",0,2,Oh really? What do you know then?,0,13,Mhm...,0,13, ,0,0
13,"I heard from a rat that its a place with trees, TREES like what even are those?? Tall bushes??",You heard from a...rat?,0,14,"I dont trust that, imma ask something else.",0,2, ,0,13, ,0,0
14,"Yeah a rat. Sometimes they check on me to make sure I aint dead yet. Let them down every time, heheh.",Er... Why don't I ask you something else.,0,2, ,0,14, ,0,14, ,0,0
