Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0,"Hmm... I guess I have space, let's go find the Lab together.", ,0,0, ,0,0, ,0,0, ,0,0
1,"Looks like I'm busy, forever. You should get going.", ,0,0, ,0,0, ,0,0, ,0,0
2,"Hey you, check these awesome shades I found.","Oh, those are sick! Could I ask you a question?",0,3, ,0,0, ,0,0, ,0,0
3,Feel free to ask me anything.,Can you tell me about Lab Lands?,0,4,Really? Anything?,0,8,Can you tell me where I can find the Arc of Life? ,0,12, ,0,0
4, What about the Lab Lands would you like to know?,What's the terrain and structure of the Lab Lands like?,0,5,Who or what can I find in the Lab Lands?,0,6,Where is the Lab located?,0,7, ,0,0
5,Some people call it the suburbs but at this point its much more of an unkempt jungle than a semblence of society. ,"Thank you for your time, is there anything else you can tell me?",0,4,"Thank you, can I ask you something else?",0,3, ,0,5, ,0,0
6,"Oh y'know, snakes, bandits, jaguars, bandits, and who knows. I'd becareful if I were you if you plan on heading there. ","Thank you for your time, is there anything else you can tell me?",0,4,"Thank you, can I ask you something else?",0,3, ,0,6, ,0,0
7,"Now I'm not quite sure where it's located specifically, all I know is that it's buried behind all those trees.","Thank you for your time, is there anything else you can tell me?",0,4,"Thank you, can I ask you something else?",0,3, ,0,7, ,0,0
8,Yeah I'm a pretty open guy. ,What is the current temperature?,0,9,What is your birthday?,0,10,Who would win in a fight...?,0,11, ,0,0
9,Yeah that's my bad for saying anything. ,"Thank you for your time, is there anything else you can tell me?",0,8,"Thank you, can I ask you something else?",0,3, ,0,9, ,0,0
10,March 21st. ,"Thank you for your time, is there anything else you can tell me?",0,8,"Thank you, can I ask you something else?",0,3, ,0,10, ,0,0
11,"Nope, gonna stop you right there. Whatever you're about to say I don't wanna hear it. ","Thank you for your time, is there anything else you can tell me?",0,8,"Thank you, can I ask you something else?",0,3, ,0,11, ,0,0
12,"Sure, I guess I could tell you some things.",Great. Gotta know fast. ,0,13,Lay it on me brother. ,0.1,13,"Please, I would be so grateful if you could tell me more.",0.2,13, ,0,0
13,"Oh, well I guess I could tell you what I know. But what is your reason for looking for it?",I just need to find it fast.,-0.1,14,"I must find it in order to save all of humanity, it's imperative that I find it.",0,14,It'll allow me to free us from complete and utter destruction.,0.1,14, ,0,0
14,"I'll be honest, I don't really know where it is, but the best way to start at the old labs up north. You can reach there by the boat in town. ","Thank you, you've been a great help answering all my questions.",0.1,15,"Perfect, thank you so much.",0.1,15,"Thanks, I guess.",-0.2,15, ,0,0
15,Of course. Anything else?,"Yeah actually, I might need a guide. ",0.1,16,Think you could do me one more favor?,0,16,I was wondering if you'd like to join me on my quest to find the Lab?,0.1,16, ,0,0
16,"Well, I'll check my calendar, if you're being serious that is.",,0,0, ,0,0, ,0,0, ,0,0
