Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,Don't talk to me. ,I'm sorry?,0,3,No can do. ,0,6, ,0,2, ,0,0
3,I said don't talk to me!,Why not?,0,4,Ok well then...,0,2, ,0,3, ,0,0
4,JUST LEAVE ME ALONE.,"Okay, okay, I got it. ",0,5, ,0,4, ,0,4, ,0,0
5,thank you..., ,0,0, ,0,5, ,0,5, ,0,0
6,Then you leave me no choice. ,Ok then let's do this. ,0,7, ,0,6, ,0,6, ,0,0
7,*sobs wildly*,Huh?,0,8, ,0,7, ,0,7, ,0,0
8,*continues sobbing*,Bro you good?,0,9, ,0,8, ,0,8, ,0,0
9,*Isn't*,Ok then hope you feel better. ,0,0, ,0,9, ,0,9, ,0,0
,,,,, ,,,,,,,,
