Row Index,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0,"Well, no use sitting around on my scared little ass, I guess. I'll go with you.", ,0,0, ,0,0, ,0,0,,0,0
1,"Or maybe it'll send me to a pointless death, just like my friends. ", ,0,0, ,0,0, ,0,0,,0,0
2,"Name's Litta Lotta. You lost, or something?",Kind of. I could use some help.,0,3, ,0,2, ,0,2, ,0,0
3,Fine. What do you want?,Tell me about Seattle.,0,4,Heard of the Arc of Life?,0,12, ,0,3, ,0,0
4,"Yeah, it's a city. Well, was. Kind of just a moldy pile of cement now.",What happened here?,0,5, ,0,4, ,0,4, ,0,0
5,"You hit your head on the way here or something? There was a flood a long time ago, ""end of the world"" kind of disaster. ",That must've been terrible! What else can you tell me?,0,3,What about the rest of the world?,0,6, ,0,5, ,0,0
6,"I said ""end of the world"". Should be pretty obvious.",What about the Arc of Life? Not all hope's lost if we can just get our hands on it.,0,7, ,0,6, ,0,6, ,0,0
7,"Kid, all my friends died looking for it, and I was the only survivor. That wasteland doesn't care who or what you are, it'll be your grave. ","I'm sorry, I didn't know that.",0,9,Tough luck. They probably didn't even know what they were doing.,0,8, ,0,7, ,0,0
8,"Screw you. Is that how you talk about the dead? My friends? Get out of here, I don't want to see you again.", ,0,8, ,0,8, ,0,8, ,0,0
9,"I don't mean to be harsh. I know you want to help us all, but there's not much you can do. You'll die out there like everyone else.",I have some other questions.,0,3, ,0,9, ,0,9, ,0,0
10, ,  ,0,0, ,0,0, ,0,0, ,0,0
11,What else do you want?,Tell me about Seattle.,0,4,Heard of the Arc of Life?,0.1,12, ,0,11, ,0,0
12,"That thing, of course I have. ","Oh good, do tell.",-0.1,13,"Awesome, mind if we talk about it. ",0,13,Hmm... something tells me it's not good. ,0.1,13,,0,0
13,*Sigh* Adventurous people tend to find death before getting close to that thing. ,What do you mean?,0,14,...,0.1,14,The hell's that mean?,-0.2,14,,0,0
14,"Look, maybe it's just because I can't get over what happened but I'm not really interested in dying. ",Same. ,0,15,And yet I'm not giving up.,0.1,15,Hmph...,-0.1,15,,0,0
15,I guess we all have to face our fears one way or another. ,Maybe it's time for you to do so. ,0.2,16,Yeah I guess. ,-0.1,16,Alright then.,-0.1,16,,0,0
16,"In fact, your situation might present me with that opportunity. ", ,0,0, ,0,0, ,0,0, ,0,0
