Row Index,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0,"Blank", ,0,0, ,0,0, ,0,0,Continue?,0,1
1,"Blank", ,0,0, ,0,0, ,0,0,Continue?,0,2
2,"I am a help robot and I cannot converse.", ,0,0, ,0,0, ,0,0,Continue?,0,3
3,"This island has no available oxygen, so watch your supply.", ,0,0, ,0,0,Previous,0,2,Continue?,0,4
4,"There are 3 labs here.  Two can be found by following this trial.  One in one direction and one in the other.", ,0,0, ,0,0,Previous,0,3,Continue?,0,5
5. Find the merchant and purchase their files.", ,0,0, ,0,0,Previous,0,3,Continue?,0,6
6,"They don't realize that it has the location of the exit to the enemy compound.", ,0,0, ,0,0,Previous,0,4,Continue?,0,7
7,"Speaking of which, the exit to the enemy compound is really hard to find.", ,0,0, ,0,0,Previous,0,5,Continue?,0,8
8,"Seek help from a friend.", ,0,0, ,0,0,Previous,0,6,Continue?,0,9
9,"Then find the exit to the enemy compound.", ,0,0, ,0,0, ,0,0, ,0,4
