Row Index,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0,"If you are reading this message", ,0,0, ,0,0, ,0,0,Continue?,0,1
1,"There is a secret island", ,0,0, ,0,0, ,0,0,Continue?,0,2
2,"If you are reading this message, then the worst happen.  Global warming passed the tipping point.", ,0,0, ,0,0, ,0,0,Continue?,0,3
3,"There is a secret island where a series of laboratories reside, but I give you this warning.", ,0,0, ,0,0, ,0,0,Continue?,0,4
4,"After the tipping point, atmospheric oxygen in Lab Land is limited, and,", ,0,0, ,0,0, ,0,0,Continue?,0,5
5,"there is no backup supply.", ,0,0, ,0,0, ,0,0,Continue?,0,6
6,"Anticipating that eventuality, I hid oxygen cannisters here on the beach behind you and out of view.", ,0,0, ,0,0, ,0,0,Continue?,0,7
7,"My advice, get your oxygen supplies maximized before you head out to the lab lands.", ,0,0, ,0,0, ,0,0,Continue?,0,8
8,"If you do not what to take the adventure, head back to Seattle on the boat you came in, however,", ,0,0, ,0,0, ,0,0,Continue?,0,9
9,"If you want the challenge, load up and exit this wasteland through a tunnel underneath the nearby outpost. ", ,0,0, ,0,0, ,0,0, ,0,4
