Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,"What have we got here? Are you another drifter, then?",I am. I'm searching for the Arc of Life.,0,3,I could ask the same about you. What are you doing here?,0,7,What was this place?,0,12, ,0,0
3,Hah! Good luck with that!,What? What do you mean by that?,0,4,Thanks!,0,2, ,0,3, ,0,0
4,"I'm not delusional, kid. There's no way the Arc of Life actually exists.",How could you know?,0,5,Whatever. Could you at least tell me something else?,0,2,Are you SURE you aren't delusional?,0,5, ,0,0
5,"Look kid, in all my years out here, I've never met one sane person who found it. It's all some big fantasy made up by people like YOU who want some magic solution to their problems.","Whatever, lady.",0,6,"Well, what's this place then?",0,12,You just don't have enough faith.,0,6, ,0,0
6,Have fun on that little goose chase of yours! Bahaha!,Could you at least tell me something else?,0,2,"Wow, what a great help! Tell me something useful, at least.",0,2, ,0,6, ,0,0
7, , ,0,0, ,0,0, ,0,0,,0,0
8,What's it matter to you? You'll probably be dead soon anyway.,Whatever. Could you at least tell me something else?,0,2,Is that a threat?,,9,"Come on, just tell me.",0,14, ,0,0
9,"No, just the truth.",Whatever. Could you at least tell me something else?,0,2,Why are you such a pessimist?,0,10, ,0,9, ,0,0
10,"Haha! Just look around. Not really much to be positive about, is there? ","Wow, what a great help! Tell me something useful, at least.",0,2,I guess. Let's talk about something else.,0,2, ,0,10, ,0,0
11, , ,0,0, ,0,0, ,0,0,,0,0
12,Like I'd know. Some sort of lab I guess.,Neat! Found anything cool?,0,15,"A lab, huh? Did you used to work here?",0,14,"Well, what are you doing in an abandoned lab?",0,13, ,0,0
13,"You're real nosy, aren't you?",I think I'm just the right amount of nosy.,0,14,Does it really matter if I know?,0,14, ,0,13, ,0,0
14,"Pfft. I'm scavenging, same as you.",How interesting. Tell me something else.,0,2,Anything good?,0,15, ,0,14, ,0,0
15,Not really. This place has already been stripped of all the good stuff.,What else is new?,0,12, Sucks. Let me ask you something else.,0,2, ,0,15, ,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Make sure there is a way to backpedal to the main questions option; In the beginning, the character is asked ""What do you need"", and needs to be able to go back to this option after going through one path of dialogue in order to explore the others.",,,,,,,,,,,,
," At the end of each path (preferrably), add an option to ""ask more questions"".",,,,,,,,,,,,
,,,,,,,,,,,,,
,"REMEMBER: Read through each of your paths and their options at least once; Make sure that every option and response is on-topic and relative. If in doubt, ask another writer for revision (if possible).",,,,,,,,,,,,
