Row Index*,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0, , ,0,0, ,0,0, ,0,0, ,0,0
1, , ,0,0, ,0,0, ,0,0, ,0,0
2,"Whats up, traveller?","So, anything interesting about yourself?",0,3,Can you tell me about the Lab Lands?,0,7,How are you doing out here?,0,11, ,0,0
3,Me? No one ever asks about me.,And you are...?,0,4,"So, whatcha doing here?",0,5,"Nah, nevermind.",0,6, ,0,0
4,I'm Snake Dough I'm just a survivor in the area.,Roaming around these parts huh? Got a reason?,0,5,"Thanks, I appreciate the help.",0,3,"Oh yeah, one more thing.",0,2, ,0,0
5,"You know how it is, I just wander around. Solo.",So whats your name again?,0,4,"Thanks, I appreciate the help.",0,3,"Oh yeah, one more thing.",0,2, ,0,0
6,What's up.,Mhm-,0,2,So tell me about yourself.,0,3,"Oh yeah, one more thing.",0,2, ,0,0
7,Oh the Lab Lands huh?,What's up with the Lab Lands then?,0,8,Anything dangerous out here?,0,9,Anyone else here worth talking to?,0,10, ,0,0
8,Pretty scary place I must say. A jungle.,"Thanks, I appreciate the help.",0,7,"Oh yeah, one more thing.",0,2, ,0,8, ,0,0
9,"The jungle aint safe for anyone buddy, you should always be on the lookout.","Thanks, I appreciate the help.",0,7,"Oh yeah, one more thing.",0,2, ,0,9, ,0,0
10,I've only seen a couple other people in this place other than myself but I don't know if I'd say they're worth anything. ,"Thanks, I appreciate the help.",0,7,"Oh yeah, one more thing.",0,2, ,0,10, ,0,0
11,I'm doing just fine my guy.,Good to hear.,0,2, ,0,11, ,0,11, ,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Make sure there is a way to backpedal to the main questions option; In the beginning, the character is asked ""What do you need"", and needs to be able to go back to this option after going through one path of dialogue in order to explore the others.",,,,,,,,,,,,
," At the end of each path (preferrably), add an option to ""ask more questions"".",,,,,,,,,,,,
,,,,,,,,,,,,,
,"REMEMBER: Read through each of your paths and their options at least once; Make sure that every option and response is on-topic and relative. If in doubt, ask another writer for revision (if possible).",,,,,,,,,,,,
