Row Index,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
0,If you don't mind I'd like to see what it takes to be like you. If I wanna learn from the young I gotta watch the young! ...Sorry that was weird.,[conversion successful],0,0,[conversion successful],0,0,[conversion successful],0,0,[conversion successful],0,0
1,On second thought I may have been right about that whole myth thing.,[conversion unsuccessful],0,0,[conversion unsuccessful],0,0,[conversion unsuccessful],0,0,[conversion unsuccessful],0,0
2,"Hey, you. What's a young'un wandering around this sorry excuse for a city?",Looking for answers. Think you can help me?,0,3,I've been sent to locate the legendary Arc of Life.,0,7,Why do you call this city sorry?,0,6,Will you join our cause?,0,0
3,"What kinda answers, I don't know much about the world but I'll tell you what I can.",How many people live in this city?,0,4,What do you do?,0,5,Will you join our cause?,0,0,Will you join our cause?,0,0
4,"Well there's only a few hundred livin' here nowadays, most of the population evacuated after the flood.","Thanks for your time, anything else you can tell me?",0,3,"Thank you, let me ask you something else.",0,2,Will you join our cause?,0,0,Will you join our cause?,0,0
5,"I used to be a teacher, but traditional jobs sort of became irrelevant in recent years.","Thanks for your time, anything else you can tell me?",0,3,"Thank you, let me ask you something else.",0,2,Will you join our cause?,0,0,Will you join our cause?,0,0
6,"Years ago, there was a great flood that turned this once-great community into ruins.",Great community?,0,11,How long are we talking?,0,12,And you found shelter in these ruins?,0,13,Will you join our cause?,0,0
7,The Arc of Life?! 'Tis but a fairy tale!,"So I've been told. However, it's the only thing that can return this world to what it once was.",0.1,8,You're absolutely sure it does not exist?,0.2,9,Do you know anyone who may be able to help me?,0.2,10,Will you join our cause?,0,0
8,"Hmm... well, there are many locals around here that are more familiar with the Arc than I am. Wander around for a bit, and you're sure to find a few.","Alright, will do! Thanks, Mr. Bustin.",0.2,9,Could you be any more specific?,0,10,"You expect me to go on a wild goose chase looking for locals? Yeah, right. ",-0.3,14,Will you join our cause?,0,0
9,Indeed. I am 99.9% sure the Arc of Life is simply a myth.,"I wish I could take your word for it, but I can't give up before even trying.",0.2,10,No way. Can't go back now that I've made up my mind.,0.1,14,What would someone like you know? Psh.,-0.2,14,Will you join our cause?,0,0
10,"I guess I can't ignore that kind of response. Damn that's really inspiring, makes me wanna help. ","Wow thanks, I'm always open to sharing some of determination with others.",0.2,13,"You seem almost desperate, guess I can't ignore you either.",0.1,13,Hmmm... I'm a little afraid you might try to soak up some of my enthusiasm. ,-0.2,13,Will you join our cause?,0,0
11,Oh yeah! This city here used to be a pillar of might in the world! People would travel from the across the world to see the great Seattle Pencil!,"Thanks for your time, anything else you can tell me?",0,6,"Thank you, let me ask you something else.",0,2,Will you join our cause?,0,0,Will you join our cause?,0,0
12,"Look kid... I know I'm kinda old but have a little respect here. Heh! Just kidding, it was about a hundred years ago. ","Thanks for your time, anything else you can tell me?",0,6,"Thank you, let me ask you something else.",0,2,Will you join our cause?,0,0,Will you join our cause?,0,0
13,You seem new to this world so I'll give you a piece of advise... the only thing that lies beyond the gates of this city is death. Of course I found shelter in he one place that wouldn't want me dead.,"Thanks for your time, anything else you can tell me?",0,6,Will you join our cause?,0,0,Will you join our cause?,0,0,Will you join our cause?,0,0
14,"Well isn't that funny, I'm starting to think you might be capable of pulling something off.",rep>0.5,-1.5,1,rep<0.5,-1.5,1,rep=0.5,-1.5,1,Will you join our cause?,-1,0
