Row Index	Statement	Option 1	Rep 1	Option 1 Row Index	Option 2	Rep 2	Option 2 Row Index	Option 3	Rep 3	Option 3 Row Index	Option 4	Rep 4	Option 4 Row Index
1	Hi I'm Gruce Bustin	Hi, my name is ____.	0.2	2	Did I ask?	-0.4	4				[Exit Conversation]	0	11
2	What's good with you?	It's none of your business	-0.4	4	I need some help.	5					[Exit Conversation]		
3	Get out of here, punk	Alright, old man.									[Exit Conversation]		
4	How can I help?	I'm lookin' to get outta here.			Tell me about Seattle		7				[Exit Conversation]		
5	Is there something I can do for ye?										[Exit Conversation]		
6	Have you head about the great flood?	No, what happened??		7	Yes I have.		9				[Exit Conversation]		
7	In the year 2100, there was a massive flash flood that wiped out the entire city of Seattle.	Oh man, how terrible!		9	What about the rest of the world?						[Exit Conversation]		
8	Well this place is the remnants of that. No way to get out of this dump.	How about the Arc of Life. 									[Exit Conversation]		
9	Oh I've heard of that.	rep > 1.0 			rep < 0.0								
10	You mean it'll give me a reason to leave this place. Hell Yeah!	[conversion succesful]		14									
11	Sorry, not worth it.	[conversion unsuccesful]		14									
12	*Exit Conversation*												
