Row Index,Statement,Option 1,Rep 1,Option 1 Row Index,Option 2,Rep 2,Option 2 Row Index,Option 3,Rep 3,Option 3 Row Index,Option 4,Rep 4,Option 4 Row Index
1,You don't look like you're from around here,I come from the home compound,-0.2,3,Could you tell me about this place,0,7,,,,Maybe later.,0,11
2,"Oh, you're one of those people.",Hey! What's that supposed to mean?,-0.2,4,"Sorry, could you explain?",0.1,5,,,,Sorry to disturb sir,,11
3,Hmph.. like I'd tell you.,Sorry that was rude of me. Could you tell me about this place,0.3,5,,,,,,,Whatever,,11
4,"Well anyone who comes from there is crazy, everyone knows that","Hey, watch you're mouth.",-0.4,6,What do you mean.,0.2,6,,,,,,
5,Look I don't know much but from what I've heard they all spout the same nonesense about a harp of life or something.,You mean the Arc of Life?,0,8,,,,,,,Well alright then I'll get out of your hair.,,11
6,"Yeah sure, this damn place has been ruled by the Dictator for as long as I can remember. None of has have ever seen his face, we just know that he rules over us and protects us.",What's beyond the gates of this city?,0,8,,,,,,,,,
7,"Apparently just wastelands and death, but we would never know cuz why the hell would we leave.",,,,,,,,,,Thank you for your time,,11
8,"The hell's that, some sort of alien thing?",rep > 1.0,,9,rep < 0.0,,10,,,,,,
9,"You know what, why not? I hate this damn place anyways.",[conversion succesful],,11,,,,,,,,,
10,"Sorry man, no way I'm trusting some shady guy like you.",[conversion unsuccesful],,11,,,,,,,,,
11,*Exit conversation*,,,,,,,,,,,,
